AGNO,COD_DEPE,COD_REG_RBD,COD_ENSE,PROM_GRAL
2010,Municipal,Región Metropolitana de Santiago,Educacion Basica,5.1654116255764215
2010,Municipal,Región Metropolitana de Santiago,Educacion Media,4.655420707331535
2010,Municipal,Región de Antofagasta,Educacion Basica,5.351091434152971
2010,Municipal,Región de Antofagasta,Educacion Media,4.618547031236173
2010,Municipal,Región de Arica y Parinacota,Educacion Basica,5.500399017802333
2010,Municipal,Región de Arica y Parinacota,Educacion Media,4.880865701590942
2010,Municipal,Región de Atacama,Educacion Basica,5.361351023558381
2010,Municipal,Región de Atacama,Educacion Media,4.653038369744813
2010,Municipal,Región de Aysén del Gral. Ibañez del Campo,Educacion Basica,5.2211853540390365
2010,Municipal,Región de Aysén del Gral. Ibañez del Campo,Educacion Media,4.273609256786827
2010,Municipal,Región de Coquimbo,Educacion Basica,5.342786308381318
2010,Municipal,Región de Coquimbo,Educacion Media,4.734395492300966
2010,Municipal,Región de La Araucanía,Educacion Basica,5.266518164435947
2010,Municipal,Región de La Araucanía,Educacion Media,4.772200442495051
2010,Municipal,Región de Los Lagos,Educacion Basica,5.321785321188726
2010,Municipal,Región de Los Lagos,Educacion Media,4.788740776834192
2010,Municipal,Región de Los Ríos,Educacion Basica,5.371147943523634
2010,Municipal,Región de Los Ríos,Educacion Media,4.854790002198929
2010,Municipal,Región de Magallanes y Antártica Chilena,Educacion Basica,5.509940409361776
2010,Municipal,Región de Magallanes y Antártica Chilena,Educacion Media,5.067845594179467
2010,Municipal,Región de Tarapacá,Educacion Basica,4.881899641577061
2010,Municipal,Región de Tarapacá,Educacion Media,4.3127216916780355
2010,Municipal,Región de Valparaíso,Educacion Basica,5.204902158563647
2010,Municipal,Región de Valparaíso,Educacion Media,4.687423059500652
2010,Municipal,Región del Bío-Bío,Educacion Basica,5.289859784739953
2010,Municipal,Región del Bío-Bío,Educacion Media,4.89713039414239
2010,Municipal,Región del Libertador Bernardo O'Higgins,Educacion Basica,5.300832423580786
2010,Municipal,Región del Libertador Bernardo O'Higgins,Educacion Media,4.863461140610992
2010,Municipal,Región del Maule,Educacion Basica,5.1761131792690005
2010,Municipal,Región del Maule,Educacion Media,4.909355604235123
2010,Particular Pagado,Región Metropolitana de Santiago,Educacion Basica,5.945940581242314
2010,Particular Pagado,Región Metropolitana de Santiago,Educacion Media,5.713006170245704
2010,Particular Pagado,Región de Antofagasta,Educacion Basica,5.922581244196842
2010,Particular Pagado,Región de Antofagasta,Educacion Media,5.521934235976789
2010,Particular Pagado,Región de Arica y Parinacota,Educacion Basica,6.157295373665481
2010,Particular Pagado,Región de Arica y Parinacota,Educacion Media,5.880043859649123
2010,Particular Pagado,Región de Atacama,Educacion Basica,6.068913226621736
2010,Particular Pagado,Región de Atacama,Educacion Media,5.646594982078853
2010,Particular Pagado,Región de Coquimbo,Educacion Basica,5.974798061389338
2010,Particular Pagado,Región de Coquimbo,Educacion Media,5.6070023603461845
2010,Particular Pagado,Región de La Araucanía,Educacion Basica,5.977387782652717
2010,Particular Pagado,Región de La Araucanía,Educacion Media,5.611545510079414
2010,Particular Pagado,Región de Los Lagos,Educacion Basica,5.78382026627219
2010,Particular Pagado,Región de Los Lagos,Educacion Media,5.493614175860917
2010,Particular Pagado,Región de Los Ríos,Educacion Basica,5.90416367552046
2010,Particular Pagado,Región de Los Ríos,Educacion Media,5.779467084639498
2010,Particular Pagado,Región de Magallanes y Antártica Chilena,Educacion Basica,5.9974198047419796
2010,Particular Pagado,Región de Magallanes y Antártica Chilena,Educacion Media,5.646474358974359
2010,Particular Pagado,Región de Tarapacá,Educacion Basica,5.852127659574468
2010,Particular Pagado,Región de Tarapacá,Educacion Media,5.401195219123506
2010,Particular Pagado,Región de Valparaíso,Educacion Basica,5.866841198759904
2010,Particular Pagado,Región de Valparaíso,Educacion Media,5.570511605873993
2010,Particular Pagado,Región del Bío-Bío,Educacion Basica,5.719277731788079
2010,Particular Pagado,Región del Bío-Bío,Educacion Media,5.469577174286696
2010,Particular Pagado,Región del Libertador Bernardo O'Higgins,Educacion Basica,5.988941849380362
2010,Particular Pagado,Región del Libertador Bernardo O'Higgins,Educacion Media,5.511426825542316
2010,Particular Pagado,Región del Maule,Educacion Basica,5.8994285714285715
2010,Particular Pagado,Región del Maule,Educacion Media,5.6366713681241185
2010,Particular Subvencionado,Región Metropolitana de Santiago,Educacion Basica,5.472014250267085
2010,Particular Subvencionado,Región Metropolitana de Santiago,Educacion Media,4.9951941521306535
2010,Particular Subvencionado,Región de Antofagasta,Educacion Basica,5.698706738785636
2010,Particular Subvencionado,Región de Antofagasta,Educacion Media,5.316609654123908
2010,Particular Subvencionado,Región de Arica y Parinacota,Educacion Basica,5.666318085225367
2010,Particular Subvencionado,Región de Arica y Parinacota,Educacion Media,5.05644690333487
2010,Particular Subvencionado,Región de Atacama,Educacion Basica,5.771258420384653
2010,Particular Subvencionado,Región de Atacama,Educacion Media,5.070852518487513
2010,Particular Subvencionado,Región de Aysén del Gral. Ibañez del Campo,Educacion Basica,5.464861091721346
2010,Particular Subvencionado,Región de Aysén del Gral. Ibañez del Campo,Educacion Media,5.010240427426536
2010,Particular Subvencionado,Región de Coquimbo,Educacion Basica,5.587637784604264
2010,Particular Subvencionado,Región de Coquimbo,Educacion Media,5.226006838905775
2010,Particular Subvencionado,Región de La Araucanía,Educacion Basica,5.392220613216742
2010,Particular Subvencionado,Región de La Araucanía,Educacion Media,4.933632152096744
2010,Particular Subvencionado,Región de Los Lagos,Educacion Basica,5.4429946984457835
2010,Particular Subvencionado,Región de Los Lagos,Educacion Media,4.9881915772089185
2010,Particular Subvencionado,Región de Los Ríos,Educacion Basica,5.371958612516523
2010,Particular Subvencionado,Región de Los Ríos,Educacion Media,5.0265712089179315
2010,Particular Subvencionado,Región de Magallanes y Antártica Chilena,Educacion Basica,5.885720837792387
2010,Particular Subvencionado,Región de Magallanes y Antártica Chilena,Educacion Media,5.12685601799775
2010,Particular Subvencionado,Región de Tarapacá,Educacion Basica,5.4165173554249755
2010,Particular Subvencionado,Región de Tarapacá,Educacion Media,4.9334962926749775
2010,Particular Subvencionado,Región de Valparaíso,Educacion Basica,5.5348928365937855
2010,Particular Subvencionado,Región de Valparaíso,Educacion Media,5.148746168849262
2010,Particular Subvencionado,Región del Bío-Bío,Educacion Basica,5.549106898536503
2010,Particular Subvencionado,Región del Bío-Bío,Educacion Media,5.235009683807368
2010,Particular Subvencionado,Región del Libertador Bernardo O'Higgins,Educacion Basica,5.601418337765639
2010,Particular Subvencionado,Región del Libertador Bernardo O'Higgins,Educacion Media,5.1057381948595335
2010,Particular Subvencionado,Región del Maule,Educacion Basica,5.440207507844529
2010,Particular Subvencionado,Región del Maule,Educacion Media,5.1950182943991
2011,Municipal,Región Metropolitana de Santiago,Educacion Basica,5.010761213960066
2011,Municipal,Región Metropolitana de Santiago,Educacion Media,4.452815284374141
2011,Municipal,Región de Antofagasta,Educacion Basica,5.282354347826087
2011,Municipal,Región de Antofagasta,Educacion Media,4.66181260432174
2011,Municipal,Región de Arica y Parinacota,Educacion Basica,5.3456105545084815
2011,Municipal,Región de Arica y Parinacota,Educacion Media,4.479647178889051
2011,Municipal,Región de Atacama,Educacion Basica,5.285260686468154
2011,Municipal,Región de Atacama,Educacion Media,4.681537450722733
2011,Municipal,Región de Aysén del Gral. Ibañez del Campo,Educacion Basica,5.155977784273603
